Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	54	U+005E		
$	NULL	7	U+0024		
(	NULL	16	U+0028	"(n)zäm'bu̲,nze̲di_zaa_(hingi_hu̲),yogo('ä)?"	
)	NULL	16	U+0029	"(n)kots'i,nze̲di_zaa_(hingi_hu̲),yogo('ä)?"	
_	NULL	439	U+005F	"hñu_ya_bes,xi_'ñixt'i,xi_nts'it'i"	Otomi
'_	NULL	1	U+0027 U+005F	"ni'_nandi"	Otomi
?$	NULL	21	U+003F U+0024	"tange'ä?,tange?,yogo'ä?"	Otomi
^u$	u	1	U+005E U+0075 U+0024	"u"	Otomi
^a̲$	ɔ	1	U+005E U+0061 U+0332 U+0024	"a̲"	Otomi
^e̲$	æ	1	U+005E U+0065 U+0332 U+0024	"e̲"	Otomi
^-‘bya$	+ ˀb j a	1	U+005E U+002D U+2018 U+0062 U+0079 U+0061 U+0024	"-‘bya"	
'	ʔ	81	U+0027	"jä'i,ts'udi_t'oho,‘re̲t’a_ma_n'aha"	
-	+	7	U+002D	"-'be,hin-,xa̲tu̲-wi_ar_tsita"	Otomi
a	a	498	U+0061	"tsita_mahä'mu̲,yaxudo,‘be̲fa_bätsi"	Otomi
b	b	145	U+0062	"bembi,ta̲mbi,’be̲go"	Otomi
d	d	304	U+0064	"ida_bätsitho,ndä_ts'ut'ubi,o̲de"	Otomi
e	e	377	U+0065	"'be̲mfeni,ge'ä,he'mi_'mehni"	Otomi
f	f	94	U+0066	"'be̲ni_jar_fidi,mfoñä,sofo"	Otomi
g	g	246	U+0067	"hogi,pede_nthogi,t'ungu"	Otomi
h	h	260	U+0068	"mahye̲tho,nugu̲hu̲,xedi_dehe"	Otomi
i	i	515	U+0069	"nthähi_'be̲jwä,xedi_dehe,xida̲"	Otomi
j	x	129	U+006A	"hu̲xji,njante,ze̲xjo"	Otomi
k	k	169	U+006B	"barko,peryodiko,xe̲ki"	Otomi
l	l	62	U+006C	"kokodrilo,plastiko,t'olo_fidi"	Otomi
m	m	185	U+006D	"made_mpa,timu,tu̲xu̲mu"	Otomi
n	n	692	U+006E	"k'ani,nts'ohni,ñänzaa"	Otomi
o	o	438	U+006F	"dängo_ndu̲i,sorro,t’olo_baga"	Otomi
p	p	64	U+0070	"bispu̲ra,japu̲'be̲fi,mpo̲ni"	Otomi
r	r	114	U+0072	"ir_thuhu,ju̲ní_trigo,torniyo"	Otomi
s	s	45	U+0073	"motosikleta,polisiya,zisei"	Otomi
t	t̪	224	U+0074	"dätä_jwädä,nthäti,plastiko"	Otomi
u	u	361	U+0075	"munts'udehe,nju_bätsitho,ts'ut'ubi"	Otomi
w	w	22	U+0077	"jawar,nkät'u̲wa,nu'u̲wi"	Otomi
x	x	247	U+0078	"ho̲t'ixu,ngaxte,xi_'ñuxi"	Otomi
y	j	99	U+0079	"bont’yo,lisensya,nu'bya"	Otomi
z	z	80	U+007A	"manza,ndembu_nzaya,‘ye̲zaa"	Otomi
á	á/a	2	U+00E1	"jár_hyo,xokwi_yá_da̲"	Otomi
ä	ɐ	297	U+00E4	"dängo_ndu̲i,hingi_ñäts'i,mpädi"	Otomi
í	í/i	4	U+00ED	"ju̲ní_hogu̲t'e̲i,ju̲ní_trigo,ya_bí_wadi"	Otomi
ñ	ɲ	122	U+00F1	"dehe_'yomu(n)hño_ngizá,hñupa,ñä_xi_hño"	Otomi
ú	ú/u	1	U+00FA	"nthúts'i"	Otomi
’	ʔ	55	U+2019	"ndu’mi,nu’u,n’a̲te"	
'b	ˀb	40	U+0027 U+0062	"(n)zäm'bu̲,häm'bu̲?,mpoxu'bifi"	Otomi
'm	ˀm	69	U+0027 U+006D	"mfo'mi,njo'mi,nä'mi"	Otomi
'n	ˀn	12	U+0027 U+006E	"ni_'na_bes,xi'ni,xi'ni_t'ot'i"	Otomi
'r	ˀr	2	U+0027 U+0072	"ar_mi_'rang(u̲)di,ma_'ra"	Otomi
'w	ˀw	13	U+0027 U+0077	"t'olo_gin'we̲,zu'we_'wada,zu'we_ngo̲"	Otomi
'x	ˀx	3	U+0027 U+0078	"mbo'xi,wa'xo,xi'xi"	Otomi
