pk,jsondata,id,name,description,markup_description,unitparameter_pk,ord,version
293,,cs-9129144172957810,Early contact with Chinese [25],,,1,,1
329,"{""start_year"": 1700, ""end_year"": 2000}",a-15-Avar,Avar [15],,,2,,1
1,,cs-9129144147605979,Arabic contact [16],"Arabic and Persian are languages which Archi people have never spoken, and they never had contacts with the speakers. They knew some Arabic from the Qur'an; as for Persian, the words were most likely borrowed via other Daghestanian languages (mainly Avar and Lak).",,1,,1
2,,cs-912914464788870,Avar contact [16],"The trade and cultural links with Avar and Lak speakers has been very strong for centuries. Archi used to be part of Lak administrative unit (Kazikumukh khanstvo). At the beginning of the 20th century they became part of an Avar administrative unit. The nearest village to Archi is the Lak village Shalib. Most Archi people speak Avar as their second or third language (second being Russian),  and many speak Lak as well. The Archi have long had contact with Russian as well, and with Turkic languages of Daghestan, especially Azeri and Kumyk.",,1,,1
3,,cs-9129144928075112,Lak contact [16],"The trade and cultural links with Avar and Lak speakers has been very strong for centuries. Archi used to be part of Lak administrative unit (Kazikumukh khanstvo). At the beginning of the 20th century they became part of an Avar administrative unit. The nearest village to Archi is the Lak village Shalib. Most Archi people speak Avar as their second or third language (second being Russian),  and many speak Lak as well. The Archi have long had contact with Russian as well, and with Turkic languages of Daghestan, especially Azeri and Kumyk.",,1,,1
320,"{""start_year"": 200, ""end_year"": 700}",a-6-Late Roman period,Late Roman period [6],,,2,,1
4,,cs-9129144275283689,Persian contact [16],"Arabic and Persian are languages which Archi people have never spoken, and they never had contacts with the speakers. They knew some Arabic from the Qur'an; as for Persian, the words were most likely borrowed via other Daghestanian languages (mainly Avar and Lak).",,1,,1
5,,cs-912914415138079,Russian contact [16],"The Archi have long had contact with Russian (at least since the mid-19th century), and most speak it as their second or third language.",,1,,1
6,,cs-9129144972823122,Turkic contact [16],"The Archi have long had contact with the Turkic languages of Daghestan, especially Azerbaijani and Kumyk, which were used as languages of interethnic communication before Russian became dominant in the 20th century.",,1,,1
7,,cs-9129144294355557,Ancient contact [6],The earliest loanwords which can be traced are a few Wanderwörter of different origins. The first identifiable group of loanwords is due to the Phoenician and Carthaginian influence on Northern Africa and has been borrowed from Phoenician or Punic.,,1,,1
