pk,jsondata,relation,certain,target_word_pk,source_word_pk
926,,immediate,t,43038,58835
927,,immediate,t,42552,58836
928,,immediate,t,43120,58837
929,,immediate,t,42977,58838
930,,immediate,t,43126,58839
931,,immediate,t,42033,58840
932,,immediate,t,41720,58841
933,,immediate,t,43125,58842
934,,immediate,t,41994,58843
935,,immediate,t,41712,58844
936,,immediate,t,42104,58845
937,,immediate,t,42146,58846
938,,immediate,t,43165,58847
939,,immediate,t,41910,58848
940,,immediate,t,41787,58849
941,,immediate,t,43086,58850
942,,immediate,t,42407,58851
943,,immediate,t,42389,58852
944,,immediate,t,42509,58853
945,,immediate,t,41779,58854
946,,immediate,t,43008,58855
947,,immediate,t,41741,58856
948,,immediate,t,42948,58857
949,,immediate,t,41740,58858
950,,immediate,t,42981,58859
951,,immediate,t,42181,58860
952,,immediate,t,41737,58861
953,,immediate,t,42134,58862
954,,immediate,t,41738,58863
955,,immediate,t,41739,58864
956,,immediate,t,41721,58865
957,,immediate,t,41993,58866
958,,immediate,t,42361,58867
959,,immediate,t,42139,58868
960,,immediate,t,42295,58869
961,,immediate,t,42488,58870
962,,immediate,t,42777,58133
963,,immediate,t,42862,58871
964,,immediate,t,42753,58872
965,,immediate,t,41625,58873
966,,immediate,t,41667,58874
967,,immediate,t,41723,58875
968,,immediate,t,42734,58876
969,,immediate,t,41855,58877
970,,immediate,t,41857,58877
971,,immediate,f,43130,58878
972,,immediate,f,43130,58879
973,,immediate,t,42910,58880
974,,immediate,t,42852,58881
975,,immediate,t,42196,58882
976,,immediate,t,42769,58883
977,,immediate,t,42997,58884
978,,immediate,t,42996,58885
979,,immediate,t,41727,58886
980,,immediate,f,42499,58887
981,,immediate,f,42499,58888
982,,immediate,f,42499,58889
983,,immediate,t,41673,58890
984,,immediate,t,41772,58891
985,,immediate,t,43147,58892
986,,immediate,t,42786,58893
987,,immediate,t,43139,58894
988,,immediate,t,41982,58895
989,,immediate,f,41709,58896
990,,immediate,f,41709,58897
991,,immediate,f,41709,58898
992,,immediate,t,42015,58899
993,,immediate,f,42498,58900
994,,immediate,f,42498,58901
995,,immediate,f,42498,58902
996,,immediate,t,42068,58903
997,,immediate,f,42526,58904
998,,immediate,f,42526,58905
999,,immediate,f,42526,58906
1000,,immediate,f,42676,58907
1001,,immediate,f,42676,58908
1002,,immediate,t,42350,58909
1003,,immediate,f,42873,58910
1004,,immediate,f,42873,58911
1005,,immediate,t,42966,58912
1006,,immediate,t,42168,58913
1007,,immediate,t,42857,58914
1008,,immediate,f,43143,58915
1009,,immediate,f,43143,58916
1010,,immediate,f,42704,58917
1011,,immediate,f,42704,58918
1012,,immediate,t,41801,58919
1013,,immediate,t,41802,58920
1014,,immediate,t,42965,58921
1015,,immediate,t,42273,58922
1016,,immediate,t,43098,58924
1017,,immediate,t,41846,58925
1018,,immediate,t,42826,58926
1019,,immediate,t,43057,58927
1020,,immediate,t,42743,58928
1021,,immediate,t,41736,58929
1022,,immediate,t,42237,58930
1023,,immediate,t,42309,58931
1024,,immediate,t,41789,58932
1025,,immediate,t,42501,58933
1026,,immediate,t,43107,58934
1027,,immediate,t,42324,58935
1028,,immediate,t,42438,58936
1029,,immediate,t,41710,58937
1030,,immediate,t,41794,58938
1031,,immediate,t,42944,58939
1032,,immediate,t,41792,58940
1033,,immediate,t,42468,58941
1034,,immediate,f,41755,58942
1035,,immediate,f,41755,58943
1036,,immediate,f,41755,58944
1037,,immediate,t,42471,58945
1038,,immediate,t,41836,58946
1039,,immediate,t,43066,58947
1040,,immediate,t,42536,58948
1041,,immediate,t,42504,58949
1042,,immediate,t,43160,58950
1043,,immediate,t,42992,58951
1044,,immediate,t,42244,58952
1045,,immediate,t,41725,58953
1046,,immediate,f,42564,58954
1047,,immediate,f,42564,58955
1048,,immediate,t,41835,58956
1049,,immediate,t,41780,58957
1050,,immediate,t,43042,58958
1051,,immediate,t,42534,58959
1052,,immediate,t,42542,58960
1053,,immediate,f,42045,58961
1054,,immediate,f,42045,58962
1055,,immediate,f,42045,58963
1056,,immediate,t,41630,58964
1057,,immediate,t,42429,58965
1058,,immediate,t,41873,58966
1059,,immediate,t,42238,58967
1060,,immediate,t,43136,58968
1061,,immediate,t,42658,58969
1062,,immediate,t,42495,58970
1063,,immediate,f,42560,58971
1064,,immediate,f,42560,58972
1065,,immediate,f,41760,58973
1066,,immediate,f,41760,58974
1067,,immediate,f,42079,58975
1068,,immediate,f,42079,58976
1069,,immediate,f,42362,58977
1070,,immediate,f,42362,58978
1071,,immediate,t,42549,58979
1072,,immediate,t,42556,58980
1073,,immediate,f,42661,58981
1074,,immediate,f,42661,58982
1075,,immediate,t,42728,58983
1076,,immediate,t,42732,58984
1077,,immediate,f,42754,58985
1078,,immediate,f,42754,58986
1079,,immediate,t,42760,58987
1080,,immediate,f,42822,58988
1081,,immediate,f,42822,58989
1082,,immediate,t,42889,58990
1083,,immediate,f,42913,58991
1084,,immediate,f,42913,58992
1085,,immediate,t,42964,58993
1086,,immediate,f,42912,58994
1087,,immediate,f,42912,58995
1088,,immediate,f,43082,58996
1089,,immediate,f,43082,58997
1090,,immediate,t,43146,58998
1091,,immediate,t,42901,58999
1092,,immediate,t,41701,59000
1093,,immediate,t,42809,59001
1094,,immediate,t,41997,59002
1095,,immediate,t,42538,59003
1096,,immediate,t,42409,59004
1097,,immediate,t,42804,59005
1098,,immediate,t,42413,59006
1099,,immediate,t,43087,59007
1100,,immediate,t,42812,59008
1101,,immediate,t,42621,59009
1102,,immediate,t,42724,59010
1103,,immediate,t,42872,59011
1104,,immediate,t,43068,59012
1105,,immediate,t,42234,59013
1106,,immediate,t,42011,59014
1107,,immediate,t,42046,59015
1108,,immediate,t,42888,59016
1109,,immediate,t,42887,59017
1110,,immediate,t,42512,59018
1111,,immediate,t,41979,59019
1112,,immediate,t,42548,59020
1113,,immediate,t,42891,59021
1114,,immediate,t,42567,59022
1115,,immediate,t,42655,59023
1116,,immediate,t,42502,59024
1117,,immediate,t,42352,59025
1118,,immediate,t,42599,59026
1119,,immediate,t,42078,59027
1120,,immediate,t,42533,59028
1121,,immediate,t,43134,59029
1122,,immediate,t,41613,59030
1123,,immediate,t,42445,59031
1124,,immediate,t,42986,59032
1125,,immediate,t,42766,59033
1126,,immediate,t,41953,59034
1127,,immediate,t,42063,59035
1128,,immediate,t,43123,59036
1129,,immediate,t,42117,59037
1130,,immediate,t,42816,59039
1131,,immediate,t,42421,59040
1132,,immediate,t,41880,59041
1133,,immediate,t,42152,59042
1134,,immediate,t,42656,59043
1135,,immediate,t,42394,59044
1136,,immediate,t,41908,59045
1137,,immediate,t,42171,59046
1138,,immediate,t,42904,59047
1139,,immediate,t,42316,59048
1140,,immediate,t,42550,59049
1141,,immediate,t,43164,59050
1142,,immediate,t,41809,59051
1143,,immediate,t,42058,59052
1144,,immediate,t,42199,59053
1145,,immediate,t,42232,59054
1146,,immediate,t,42856,59055
1147,,immediate,t,41849,59056
1148,,immediate,t,41928,59057
1149,,immediate,t,41927,59058
1150,,immediate,f,43129,59059
1151,,immediate,f,43129,59060
1152,,immediate,f,43152,59061
1153,,immediate,f,43152,59062
1154,,immediate,t,42096,59063
1155,,immediate,t,42095,59064
1156,,immediate,t,41870,59065
1157,,immediate,t,41688,59066
1158,,immediate,t,42320,59067
1159,,immediate,t,43111,59068
1160,,immediate,t,42628,59069
1161,,immediate,t,43137,59070
1162,,immediate,t,41633,59071
1163,,immediate,t,43034,59072
1164,,immediate,t,42386,59073
1165,,immediate,t,42387,59074
1166,,immediate,t,42384,59075
1167,,immediate,t,42847,59076
1168,,immediate,t,42554,59077
1169,,immediate,t,42087,59078
1170,,immediate,t,42500,59079
1171,,immediate,f,47773,59080
1172,,immediate,f,47773,59081
1173,,immediate,t,47502,59082
1174,,immediate,t,47774,59083
1175,,immediate,t,47113,59084
1176,,immediate,t,47093,59085
1177,,immediate,t,47052,59086
1178,,immediate,t,47729,74476
1179,,immediate,t,47269,74477
1180,,immediate,t,46815,59087
1181,,immediate,t,47543,59088
1182,,immediate,t,46880,59089
1183,,immediate,t,47229,59090
1184,,immediate,t,47606,59091
1185,,immediate,t,46891,59092
1186,,immediate,t,46793,59093
1187,,immediate,t,47198,59094
1188,,immediate,t,46773,59095
1189,,immediate,t,46779,59096
1190,,immediate,t,47752,59097
1191,,immediate,t,46868,59098
1192,,immediate,t,47128,59099
1193,,immediate,t,47375,59100
1194,,immediate,t,47771,59101
1195,,immediate,t,47252,59102
1196,,immediate,t,46977,74478
1197,,immediate,t,47445,59103
1198,,immediate,t,47248,74479
1199,,immediate,t,46976,59104
1200,,immediate,t,47623,59105
1201,,immediate,t,47177,59106
1202,,immediate,t,47737,59107
1203,,immediate,t,47151,59108
1204,,immediate,t,47259,59109
1205,,immediate,t,46883,59110
1206,,immediate,t,47059,59111
1207,,immediate,t,46800,59112
1208,,immediate,t,47134,59113
1209,,immediate,t,46999,59114
1210,,immediate,t,47265,59115
1211,,immediate,t,46989,59116
1212,,immediate,t,47388,59117
1213,,immediate,t,46739,59118
1214,,immediate,t,47131,59119
1215,,immediate,t,47501,59120
1216,,immediate,t,46725,59121
1217,,immediate,t,47236,59122
1218,,immediate,t,47096,74480
1219,,immediate,t,46746,74481
1220,,immediate,t,46867,59123
1221,,immediate,t,47223,59124
1222,,immediate,t,47568,59125
1223,,immediate,t,47420,59126
1224,,immediate,t,46857,59127
1225,,immediate,t,47410,59128
1226,,immediate,t,47040,59129
1227,,immediate,t,47552,59130
1228,,immediate,t,46912,59131
1229,,immediate,t,47663,59132
1230,,immediate,t,46799,59133
1231,,immediate,t,47156,59134
1232,,immediate,t,46803,59135
1233,,immediate,t,46904,59136
1234,,immediate,t,47553,59137
1235,,immediate,t,47664,59138
1236,,immediate,t,46774,59139
1237,,immediate,t,47120,74482
1238,,immediate,t,46900,58370
