borrowed_score,age_score,simplicity_score,pk,semantic_field_pk,representation,semantic_category,ids_code,sub_code,typical_context,core_list
0.307926829268293,0.84390243902439,0.908536585365854,458,5,45,Noun,5.84,84,,t
0.205882352941176,0.788235294117647,0.838235294117647,636,8,19,Noun,8.96,96,,t
0.518867924528302,0.813207547169811,0.783018867924528,1402,22,27,Noun,0,5,,t
0.40188679245283,0.836981132075472,0.858490566037736,1,1,48,Noun,1.1,1,The Amazon is the longest river in the world.,t
0.268285123966942,0.899917355371901,0.939256198347107,2,1,50,Noun,1.21,21,The captain sighted land in the distance.,t
0.0999346120313862,0.88099389712293,0.954228421970358,3,1,44,Noun,1.212,212,The soil is pretty good in this area.,t
0.233766233766234,0.89448051948052,0.931818181818182,4,1,55,Noun,1.213,213,The house had not been cleaned and there was dust on the furniture.,t
0.153973509933775,0.841059602649007,0.918046357615894,5,1,53,Noun,1.214,214,His shoes were covered with mud.,t
0.0994475138121547,0.876243093922652,0.92817679558011,6,1,46,Noun,1.215,215,There is sand on this part of the beach.,t
0.173913043478261,0.892753623188406,0.971014492753623,7,1,73,Noun,1.22,22,,t
0.165760869565217,0.868478260869565,0.940217391304348,8,1,50,Noun,1.222,222,,t
0.26007326007326,0.900732600732601,0.788461538461538,9,1,52,Noun,1.23,23,,t
0.183908045977011,0.836781609195402,0.890804597701149,10,1,46,Noun,1.24,24,The valley was surrounded by high mountains.,t
0.387978142076503,0.849726775956284,0.896174863387978,11,1,47,Noun,1.25,25,Sicily is a Mediterranean island.,t
0.423224568138196,0.819961612284069,0.748080614203455,12,1,29,Noun,1.26,26,,t
0.15327380952381,0.835119047619047,0.758928571428571,13,1,59,Noun,1.27,27,,t
0.195054945054945,0.805494505494505,0.868131868131868,14,1,49,Noun,1.28,28,The hunter lit a torch and entered the cave.,t
0.0911062906724512,0.900650759219089,0.986984815618221,15,1,45,Noun,1.31,31,The inhabitants get their water from the river.,t
0.461832061068702,0.861577608142494,0.916030534351145,16,1,43,Noun,1.32,32,The ship is sailing in the sea.,t
0.264705882352941,0.865882352941177,0.835294117647059,17,1,35,Adjective,1.322,322,a calm sea,t
0.161290322580645,0.795161290322581,0.713709677419355,18,1,34,Adjective,1.323,323,a rough sea,t
0.148936170212766,0.840425531914894,0.952127659574468,19,1,47,Noun,1.324,324,Foam formed on the polluted river.,t
0.611650485436893,0.810355987055016,0.786407766990291,20,1,35,Noun,1.329,329,The Pacific Ocean is larger than the Atlantic Ocean.,t
0.214723926380368,0.844580777096114,0.923312883435583,21,1,47,Noun,1.33,33,This lake's water is safe for drinking.,t
0.344339622641509,0.790566037735849,0.877358490566038,22,1,28,Noun,1.34,34,,t
0.386904761904762,0.821428571428571,0.875,23,1,24,Noun,1.341,341,,t
0.238095238095238,0.821428571428571,0.797619047619048,24,1,23,Noun,1.342,342,The ship was wrecked on a reef.,t
0.368421052631579,0.86578947368421,0.868421052631579,25,1,20,Noun,1.343,343,,t
0.133522727272727,0.814772727272727,0.880681818181818,26,1,46,Noun,1.35,35,The tallest waves are found in the Pacific Ocean.,t
0.168,0.768,0.712,27,1,24,Noun,1.352,352,,t
0.125,0.795,0.675,28,1,20,Noun,1.353,353,During low tide the rock is exposed.,t
0.144230769230769,0.707692307692308,0.673076923076923,29,1,26,Noun,1.354,354,The rock is not visible during high tide.,t
0.223816355810617,0.894404591104734,0.920373027259684,30,1,63,Noun,1.36,36,,t
0.0975609756097561,0.770731707317073,0.707317073170732,31,1,41,Noun,1.362,362,,t
0.205426356589147,0.813178294573643,0.854651162790698,32,1,66,Noun,1.37,37,,t
0.20873786407767,0.809708737864078,0.854368932038835,33,1,54,Noun,1.38,38,"Be careful, there are crocodiles in the swamp.",t
0.224719101123595,0.80561797752809,0.679775280898876,34,1,45,Noun,1.39,39,The waterfall runs dry in the summer.,t
0.164688427299703,0.86379821958457,0.94213649851632,35,1,59,Noun,1.41,41,There are many wild animals in the forest.,t
0.140122511485452,0.931087289433384,0.940275650842266,36,1,43,Noun,1.43,43,The table is made of wood.,t
0.105,0.894,0.9575,37,1,54,Noun,1.44,44,,t
0.25,0.8075,0.66875,38,1,40,Noun,1.45,45,The house was destroyed by an earthquake.,t
0.273542600896861,0.911808669656203,0.906576980568012,39,1,46,Noun,1.51,51,There were white clouds in the blue sky.,t
0.139002036659878,0.893279022403259,0.871690427698574,40,1,48,Noun,1.52,52,The sun rises in the east.,t
0.284198113207547,0.893867924528302,0.957547169811321,41,1,49,Noun,1.53,53,The moon shone brightly in the clear night sky.,t
0.170318725099602,0.885258964143426,0.970119521912351,42,1,43,Noun,1.54,54,The stars shone brightly in the clear night sky.,t
0.16,0.818666666666667,0.77,43,1,49,Noun,1.55,55,I was momentarily blinded by the lightening.,t
0.104247104247104,0.82972972972973,0.823359073359073,44,1,47,Noun,1.56,56,The thunder was deafening.,t
0.255681818181818,0.853409090909091,0.795454545454546,45,1,42,Noun,1.57,57,,t
0.235401459854015,0.786131386861314,0.804744525547445,46,1,48,Noun,1.58,58,It's more than just rain-it's a real storm!,t
0.136363636363636,0.840909090909091,0.789772727272727,47,1,44,Noun,1.59,59,"After the storm, a rainbow appeared in the sky.",t
0.208632834962622,0.888297872340426,0.88678838412881,48,1,49,Noun,1.61,61,The fire gave a bright light.,t
0.147272727272727,0.868,0.743636363636364,49,1,49,Noun,1.62,62,"After the sunset, darkness quickly fell.",t
0.112745098039216,0.902941176470588,0.931372549019608,50,1,52,Noun,1.63,63,,t
0.16382252559727,0.866894197952218,0.902730375426621,51,1,50,Noun,1.64,64,The trees were wet from the morning dew.,t
0.475728155339806,0.91504854368932,0.941747572815534,52,1,42,Noun,1.71,71,The air is cool and fresh here in the mountains.,t
0.171739130434783,0.909565217391304,0.98695652173913,53,1,45,Noun,1.72,72,The wind blew so hard it knocked down the tree.,t
0.164705882352941,0.892941176470588,0.941176470588235,54,1,45,Noun,1.73,73,There were white clouds in the blue sky.,t
0.140625,0.855514705882353,0.90625,55,1,48,Noun,1.74,74,The fog is so thick I can't see the road.,t
0.0836776859504132,0.905785123966942,0.950413223140496,56,1,43,Noun,1.75,75,"After the rain, the sun appeared again.",t
0.237244897959184,0.889795918367347,0.933673469387755,57,1,36,Noun,1.76,76,Snow fell all night and covered the city.,t
0.230769230769231,0.82995951417004,0.904858299595142,58,1,45,Noun,1.77,77,A layer of ice formed over the lake.,t
0.363194444444444,0.825277777777778,0.85,59,1,39,Noun,1.78,78,I hope that tomorrow the weather will be nicer than today.,t
0.0354578882857643,0.940903519523726,0.99474697951322,60,1,42,Noun,1.81,81,The fire is brightly burning in the fireplace.,t
