pk,vocabulary_pk
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,12
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,12
428,12
429,12
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,12
446,12
447,12
448,12
449,12
450,12
451,12
452,12
453,12
454,12
455,12
456,12
457,12
458,12
459,12
460,12
461,12
462,12
463,12
464,12
465,12
466,12
467,12
468,12
469,12
470,12
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
488,12
489,12
490,12
491,12
492,12
493,12
494,12
495,12
496,12
497,12
498,12
499,12
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,12
509,12
510,12
511,12
512,12
513,12
514,12
515,12
516,12
517,12
518,12
519,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,12
533,12
534,12
535,12
536,12
537,12
538,12
539,12
540,12
541,12
542,12
543,12
544,12
545,12
546,12
547,12
548,12
549,12
550,12
551,12
552,12
553,12
554,12
555,12
556,12
557,12
558,12
559,12
560,12
561,12
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,12
570,12
571,12
572,12
573,12
574,12
575,12
576,12
577,12
578,12
579,12
580,12
581,12
582,12
583,12
584,12
585,12
586,12
587,12
588,12
589,12
590,12
591,12
592,12
593,12
594,12
595,12
596,12
597,12
598,12
599,12
600,12
601,12
602,12
603,12
604,12
605,12
606,12
607,12
608,12
609,12
610,12
611,12
612,12
613,12
614,12
615,12
616,12
617,12
618,12
619,12
620,12
621,12
622,12
623,12
624,12
625,12
626,12
627,12
628,12
629,12
630,12
631,12
632,12
633,12
634,12
635,12
636,12
637,12
638,12
639,12
640,12
641,12
642,12
643,12
644,12
645,12
646,12
647,12
648,12
649,12
650,12
651,12
652,12
653,12
654,12
655,12
656,12
657,12
658,12
659,12
660,12
661,12
662,12
663,12
664,12
665,12
666,12
667,12
668,12
669,12
670,12
671,12
672,12
673,12
674,12
675,12
676,12
677,12
678,12
679,12
680,12
681,12
682,12
683,12
684,12
685,12
686,12
687,12
688,12
689,12
690,12
691,12
692,12
693,12
694,12
695,12
696,12
697,12
698,12
699,12
700,12
701,12
702,12
703,12
704,12
705,12
706,12
707,12
708,12
709,12
710,12
711,12
712,12
713,12
714,12
715,12
716,12
717,12
718,12
719,12
720,12
721,12
722,12
723,12
724,12
725,12
726,12
727,12
728,12
729,12
730,12
731,12
732,12
733,12
734,12
735,12
736,12
737,12
738,12
739,12
740,12
741,12
742,12
743,12
744,12
745,12
746,12
747,12
748,12
749,12
750,12
751,13
752,13
753,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,13
762,13
763,13
764,13
765,13
766,13
767,13
768,13
769,13
770,13
771,13
772,13
773,13
774,13
775,13
776,13
777,13
778,13
779,13
780,13
781,13
782,13
783,13
784,13
785,13
786,13
787,13
788,13
789,13
790,13
791,13
792,13
793,13
794,13
795,13
796,13
797,13
798,13
799,13
800,13
801,13
802,13
803,13
804,13
805,13
806,13
807,13
808,13
809,13
810,13
811,13
812,13
813,13
814,13
815,13
816,13
817,13
818,13
819,13
820,13
821,13
822,13
823,13
824,13
825,13
826,13
827,13
828,13
829,13
830,13
831,13
832,13
833,13
834,13
835,13
836,13
837,13
838,13
839,13
840,13
841,13
842,13
843,13
844,13
845,13
846,13
847,13
848,13
849,13
850,13
851,13
852,13
853,13
854,13
855,13
856,13
857,13
858,13
859,13
860,13
861,13
862,13
863,13
864,13
865,13
866,13
867,13
868,13
869,13
870,13
871,13
872,13
873,13
874,13
875,13
876,13
877,13
878,13
879,13
880,13
881,13
882,13
883,13
884,13
885,13
886,13
887,13
888,13
889,13
890,13
891,13
892,13
893,13
894,13
895,13
896,13
897,13
898,13
899,13
900,13
901,13
902,13
903,13
904,13
905,13
906,13
907,13
908,13
909,13
910,13
911,13
912,13
913,13
914,13
915,13
916,13
917,13
918,13
919,13
920,13
921,13
922,13
923,13
924,13
925,13
926,13
927,13
928,13
929,13
930,13
931,13
932,13
933,13
934,13
935,13
936,13
937,13
938,13
939,13
940,13
941,13
942,13
943,13
944,13
945,13
946,13
947,13
948,13
949,13
950,13
951,13
952,13
953,13
954,13
955,13
956,13
957,13
958,13
959,13
960,13
961,13
962,13
963,13
964,13
965,13
966,13
967,13
968,13
969,13
970,13
971,13
972,13
973,13
974,13
975,13
976,13
977,13
978,13
979,13
980,13
981,13
982,13
983,13
984,13
985,13
986,13
987,13
988,13
989,13
990,13
991,13
992,13
993,13
994,13
995,13
996,13
997,13
998,13
999,13
1000,13
1001,13
1002,13
1003,13
1004,13
1005,13
1006,13
1007,13
1008,13
1009,13
1010,13
1011,13
1012,13
1013,13
1014,13
1015,13
1016,13
1017,13
1018,13
1019,13
1020,13
1021,13
1022,13
1023,13
1024,13
1025,13
1026,13
1027,13
1028,13
1029,13
1030,13
1031,13
1032,13
1033,13
1034,13
1035,13
1036,13
1037,13
1038,13
1039,13
1040,13
1041,13
1042,13
1043,13
1044,13
1045,13
1046,13
1047,13
1048,13
1049,13
1050,13
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,31
1058,31
1059,31
1060,31
1061,31
1062,31
1063,31
1064,31
1065,31
1066,31
1067,31
1068,31
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,4
1078,30
1079,30
1080,30
1081,30
1082,30
1083,30
1084,39
1085,39
1086,39
1087,39
1088,39
1089,39
1090,39
1091,37
1092,37
1093,37
1094,37
1095,37
1096,37
1097,27
1098,27
1099,27
1100,2
1101,2
1102,21
1103,21
1104,21
1105,21
1106,21
1107,38
1108,38
1109,38
1110,38
1111,38
1112,5
1113,5
1114,5
1115,5
1116,5
1117,5
1118,5
1119,5
1120,5
1121,5
1122,5
1123,5
1124,18
1125,18
1126,18
1127,18
1128,18
1129,18
1130,18
1131,18
1132,18
1133,18
1134,14
1135,14
1136,11
1137,11
1138,14
1139,14
1140,14
1141,14
1142,14
1143,14
1144,14
1145,14
1146,10
1147,10
1148,10
1149,10
1150,10
1151,10
1152,10
1153,10
1154,10
1155,10
1156,10
1157,10
1158,10
1159,10
1160,10
1161,10
1162,10
1163,10
1164,28
1165,28
1166,28
1167,28
1168,28
1169,28
1170,28
1171,28
1172,28
1173,28
1174,28
1175,28
1176,28
1177,17
1178,17
1179,17
1180,17
1181,17
1182,17
1183,22
1184,22
1185,22
1186,22
1187,22
1188,22
1189,22
1190,22
1191,22
1192,22
1193,22
1194,22
1195,22
1196,22
1197,22
1198,22
1199,22
1200,22
1201,22
1202,22
1203,22
1204,22
1205,22
1206,22
1207,22
1208,22
1209,22
1210,22
1211,22
1212,22
1213,22
1214,22
1215,22
1216,22
1217,22
1218,22
1219,22
1220,22
1221,22
1222,22
1223,22
1224,22
1225,22
1226,22
1227,22
1228,22
1229,22
1230,22
1231,22
1232,22
1233,41
1234,41
1235,41
1236,11
1237,11
1238,11
1239,11
1240,11
1241,11
1242,11
1243,11
1244,11
1245,20
1246,20
1247,20
1248,20
1249,35
1250,35
1251,35
1252,34
1253,34
1254,34
1255,34
1256,34
1257,34
1258,34
1259,34
1260,34
1261,34
1262,34
1263,34
1264,34
1265,34
1266,34
1267,34
1268,34
1269,34
1270,34
1271,34
1272,34
1273,34
1274,34
1275,34
1276,34
1277,34
1278,34
1279,34
1280,34
1281,34
1282,34
1283,34
1284,34
1285,34
1286,34
1287,34
1288,34
1289,34
1290,34
1291,34
1292,34
1293,34
1294,34
1295,34
1296,34
1297,34
1298,34
1299,34
1300,34
1301,34
1302,34
1303,34
1304,34
1305,34
1306,34
1307,34
1308,34
1309,34
1310,34
1311,34
1312,34
1313,34
1314,34
1315,34
1316,34
1317,8
1318,8
1319,8
1320,8
1321,8
1322,8
1323,8
1324,8
1325,8
1326,8
1327,8
1328,8
1329,8
1330,8
1331,8
1332,8
1333,8
1334,8
1335,19
1336,19
1337,19
1338,19
1339,33
1340,33
1341,19
1342,19
1343,19
1344,19
1345,36
1346,36
1347,36
1348,36
1349,36
1350,36
1351,36
1352,36
1353,36
1354,36
1355,33
1356,36
1357,36
1358,36
1359,36
1360,36
1361,9
1362,9
1363,9
1364,9
1365,9
1366,9
1367,9
1368,9
1369,9
1370,9
1371,9
1372,9
1373,9
1374,9
1375,9
1376,9
1377,7
1378,7
1379,7
1380,7
1381,7
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,29
1391,29
1392,29
1393,29
1394,29
1395,29
1396,29
1397,29
1398,29
1399,29
1400,29
1401,29
1402,29
1403,29
1404,29
1405,23
1406,23
1407,23
1408,23
1409,23
1410,23
1411,23
1412,23
1413,23
1414,23
1415,23
1416,23
1417,33
1418,33
1419,33
1420,33
1421,33
1422,33
1423,33
1424,33
1425,33
1426,24
1427,24
1428,24
1429,24
1430,24
1431,24
1432,24
1433,24
1434,24
1435,24
1436,24
1437,24
1438,25
1439,25
1440,25
1441,25
1442,25
1443,25
1444,40
1445,40
1446,40
1447,32
1448,32
1449,32
1450,32
1451,32
1452,32
1453,16
1454,15
1455,26
1456,13
1457,13
1458,31
1459,30
1460,39
1461,27
1462,2
1463,21
1464,38
1465,5
1466,14
1467,14
1468,14
1469,14
1470,14
1471,14
1472,14
1473,14
1474,14
1475,10
1476,28
1477,28
1478,28
1479,17
1480,22
1481,22
1482,41
1483,20
1484,35
1485,34
1486,8
1487,8
1488,8
1489,8
1490,8
1491,8
1492,8
1493,8
1494,8
1495,8
1496,8
1497,19
1498,19
1499,19
1500,7
1501,1
1502,29
1503,6
1504,6
1505,23
1506,25
1507,33
1508,33
1509,33
1510,2
1511,2
1512,2
1513,28
