ID,Name,Description,SemanticField,BorrowedScore,AgeScore,SimplicityScore,SemanticCategory,IDS_code,TypicalContext,CoreList
1-1,the world,,The physical world,0.401886792453,0.836981132075,0.858490566038,Noun,1.1,The Amazon is the longest river in the world.,true
1-21,the land,"'the hard surface of the earth, when compared to the area covered by sea'",The physical world,0.268285123967,0.899917355372,0.939256198347,Noun,1.21,The captain sighted land in the distance.,true
1-212,the soil,'the substance that plants naturally grow in',The physical world,0.0999346120314,0.880993897123,0.95422842197,Noun,1.212,The soil is pretty good in this area.,true
1-213,the dust,"'dry powder consisting of extremely small bits of matter, found outside or inside buildings'",The physical world,0.233766233766,0.894480519481,0.931818181818,Noun,1.213,The house had not been cleaned and there was dust on the furniture.,true
1-214,the mud,'wet earth that has become soft and sticky',The physical world,0.153973509934,0.841059602649,0.918046357616,Noun,1.214,His shoes were covered with mud.,true
1-215,the sand,,The physical world,0.0994475138122,0.876243093923,0.92817679558,Noun,1.215,There is sand on this part of the beach.,true
1-22,the mountain or hill,,The physical world,0.173913043478,0.892753623188,0.971014492754,Noun,1.22,,true
1-222,the cliff or precipice,'a high rock with a very steep side (often near the sea)',The physical world,0.165760869565,0.86847826087,0.940217391304,Noun,1.222,,true
1-23,the plain,"'expanse of level ground, open country'",The physical world,0.260073260073,0.900732600733,0.788461538462,Noun,1.23,,true
1-24,the valley,,The physical world,0.183908045977,0.836781609195,0.890804597701,Noun,1.24,The valley was surrounded by high mountains.,true
1-25,the island,,The physical world,0.387978142077,0.849726775956,0.896174863388,Noun,1.25,Sicily is a Mediterranean island.,true
1-26,the mainland,"'the main area of land that forms a country, as compared to islands near it'",The physical world,0.423224568138,0.819961612284,0.748080614203,Noun,1.26,,true
1-27,the shore,"'the land along the edge of a large body of water, such as an ocean or a lake'",The physical world,0.153273809524,0.835119047619,0.758928571429,Noun,1.27,,true
1-28,the cave,,The physical world,0.195054945055,0.805494505495,0.868131868132,Noun,1.28,The hunter lit a torch and entered the cave.,true
1-31,the water,‘drinking water’,The physical world,0.0911062906725,0.900650759219,0.986984815618,Noun,1.31,The inhabitants get their water from the river.,true
1-32,the sea,,The physical world,0.461832061069,0.861577608142,0.916030534351,Noun,1.32,The ship is sailing in the sea.,true
1-322,calm,'smooth or having only gentle waves',The physical world,0.264705882353,0.865882352941,0.835294117647,Adjective,1.322,a calm sea,true
1-323,rough(2),'with large waves',The physical world,0.161290322581,0.795161290323,0.713709677419,Adjective,1.323,a rough sea,true
1-324,the foam,,The physical world,0.148936170213,0.840425531915,0.952127659574,Noun,1.324,Foam formed on the polluted river.,true
1-329,the ocean,'any of the world's major bodies of salt water'; generally larger than 'sea',The physical world,0.611650485437,0.810355987055,0.78640776699,Noun,1.329,The Pacific Ocean is larger than the Atlantic Ocean.,true
1-33,the lake,,The physical world,0.21472392638,0.844580777096,0.923312883436,Noun,1.33,This lake's water is safe for drinking.,true
1-34,the bay,'an area of the sea that curves inwards towards the land',The physical world,0.344339622642,0.790566037736,0.877358490566,Noun,1.34,,true
1-341,the lagoon,"'a body of sea water partly or completely separated from the sea by sand, rock etc., generally smaller than a bay’",The physical world,0.386904761905,0.821428571429,0.875,Noun,1.341,,true
1-342,the reef,"'a line mass of sharp rocks, often made of coral, near the surface of the sea'",The physical world,0.238095238095,0.821428571429,0.797619047619,Noun,1.342,The ship was wrecked on a reef.,true
1-343,the cape,'a large piece of land surrounded on three sides by the sea',The physical world,0.368421052632,0.865789473684,0.868421052632,Noun,1.343,,true
1-35,the wave,,The physical world,0.133522727273,0.814772727273,0.880681818182,Noun,1.35,The tallest waves are found in the Pacific Ocean.,true
1-352,the tide,'the regular rising and lowering of the level of the sea',The physical world,0.168,0.768,0.712,Noun,1.352,,true
1-353,the low tide,,The physical world,0.125,0.795,0.675,Noun,1.353,During low tide the rock is exposed.,true
1-354,the high tide,,The physical world,0.144230769231,0.707692307692,0.673076923077,Noun,1.354,The rock is not visible during high tide.,true
1-36,the river or stream,,The physical world,0.223816355811,0.894404591105,0.92037302726,Noun,1.36,,true
1-362,the whirlpool,'a powerful current of water that spins around and can pull things down into it',The physical world,0.0975609756098,0.770731707317,0.707317073171,Noun,1.362,,true
1-37,the spring or well,'natural (spring) or artificial (well) source of water',The physical world,0.205426356589,0.813178294574,0.854651162791,Noun,1.37,,true
1-38,the swamp,,The physical world,0.208737864078,0.809708737864,0.854368932039,Noun,1.38,"Be careful, there are crocodiles in the swamp.",true
1-39,the waterfall,,The physical world,0.224719101124,0.805617977528,0.679775280899,Noun,1.39,The waterfall runs dry in the summer.,true
1-41,the woods or forest,,The physical world,0.1646884273,0.863798219585,0.942136498516,Noun,1.41,There are many wild animals in the forest.,true
1-43,the wood,‘material that people get from trees’,The physical world,0.140122511485,0.931087289433,0.940275650842,Noun,1.43,The table is made of wood.,true
1-44,the stone or rock,,The physical world,0.105,0.894,0.9575,Noun,1.44,,true
1-45,the earthquake,,The physical world,0.25,0.8075,0.66875,Noun,1.45,The house was destroyed by an earthquake.,true
1-51,the sky,,The physical world,0.273542600897,0.911808669656,0.906576980568,Noun,1.51,There were white clouds in the blue sky.,true
1-52,the sun,,The physical world,0.13900203666,0.893279022403,0.871690427699,Noun,1.52,The sun rises in the east.,true
1-53,the moon,,The physical world,0.284198113208,0.893867924528,0.957547169811,Noun,1.53,The moon shone brightly in the clear night sky.,true
1-54,the star,,The physical world,0.1703187251,0.885258964143,0.970119521912,Noun,1.54,The stars shone brightly in the clear night sky.,true
1-55,the lightning,,The physical world,0.16,0.818666666667,0.77,Noun,1.55,I was momentarily blinded by the lightening.,true
1-56,the thunder,,The physical world,0.104247104247,0.82972972973,0.823359073359,Noun,1.56,The thunder was deafening.,true
1-57,the bolt of lightning,"'a flash of lightning and a noise of thunder together, which hits something'",The physical world,0.255681818182,0.853409090909,0.795454545455,Noun,1.57,,true
1-58,the storm,,The physical world,0.235401459854,0.786131386861,0.804744525547,Noun,1.58,It's more than just rain-it's a real storm!,true
1-59,the rainbow,,The physical world,0.136363636364,0.840909090909,0.789772727273,Noun,1.59,"After the storm, a rainbow appeared in the sky.",true
1-61,the light,,The physical world,0.208632834963,0.88829787234,0.886788384129,Noun,1.61,The fire gave a bright light.,true
1-62,the darkness,,The physical world,0.147272727273,0.868,0.743636363636,Noun,1.62,"After the sunset, darkness quickly fell.",true
1-63,the shade or shadow,,The physical world,0.112745098039,0.902941176471,0.93137254902,Noun,1.63,,true
1-64,the dew,,The physical world,0.163822525597,0.866894197952,0.902730375427,Noun,1.64,The trees were wet from the morning dew.,true
1-71,the air,,The physical world,0.47572815534,0.915048543689,0.941747572816,Noun,1.71,The air is cool and fresh here in the mountains.,true
1-72,the wind,,The physical world,0.171739130435,0.909565217391,0.986956521739,Noun,1.72,The wind blew so hard it knocked down the tree.,true
1-73,the cloud,,The physical world,0.164705882353,0.892941176471,0.941176470588,Noun,1.73,There were white clouds in the blue sky.,true
1-74,the fog,,The physical world,0.140625,0.855514705882,0.90625,Noun,1.74,The fog is so thick I can't see the road.,true
1-75,the rain,,The physical world,0.0836776859504,0.905785123967,0.95041322314,Noun,1.75,"After the rain, the sun appeared again.",true
1-76,the snow,,The physical world,0.237244897959,0.889795918367,0.933673469388,Noun,1.76,Snow fell all night and covered the city.,true
1-77,the ice,,The physical world,0.230769230769,0.82995951417,0.904858299595,Noun,1.77,A layer of ice formed over the lake.,true
1-78,the weather,,The physical world,0.363194444444,0.825277777778,0.85,Noun,1.78,I hope that tomorrow the weather will be nicer than today.,true
1-81,the fire,‘a fire lit deliberately for heating or cooking’,The physical world,0.0354578882858,0.940903519524,0.994746979513,Noun,1.81,The fire is brightly burning in the fireplace.,true
1-82,the flame,,The physical world,0.180036930652,0.882027082478,0.762002462043,Noun,1.82,The flames were so high they reached the helicopter.,true
1-83,the smoke,,The physical world,0.0840517241379,0.836637931034,0.928879310345,Noun,1.83,Heavy smoke billowed from the burning house.,true
1-84,the ash,,The physical world,0.147058823529,0.872941176471,0.920588235294,Noun,1.84,He let the cigarette ash fall on the floor.,true
1-841,the embers,'pieces of wood or coal in a fire that are no longer burning but are still red and very hot',The physical world,0.247933884298,0.801239669421,0.82541322314,Noun,1.841,,true
1-851,to burn(1),'partially or fully destroy with fire',The physical world,0.0997854077253,0.885836909871,0.776824034335,Verb,1.851,She burnt all her ex-boyfriend's old letters.,true
1-852,to burn(2),"'be on fire, be consumed by fire'",The physical world,0.0493827160494,0.850617283951,0.888888888889,Verb,1.852,Our house is burning! Call the fire fighters!,true
1-86,to light,'make something burn',The physical world,0.0621761658031,0.820207253886,0.768566493955,Verb,1.86,She lit a match.,true
1-861,to extinguish,,The physical world,0.147585345545,0.88834304746,0.764779350541,Verb,1.861,The fire fighters extinguished the fire.,true
1-87,the match,'a small wooden stick used to light a fire',The physical world,0.6689453125,0.73828125,0.873046875,Noun,1.87,,true
1-88,the firewood,,The physical world,0.0491028128031,0.890155189137,0.839961202716,Noun,1.88,The boys collected firewood and built a bonfire.,true
1-89,the charcoal,,The physical world,0.258823529412,0.878823529412,0.879411764706,Noun,1.89,"This fireplace is lit by charcoal, not wood.",true
2-1,the person,‘human being’,Kinship,0.32299270073,0.929927007299,0.934306569343,Noun,2.1,This table can be lifted by one person.,true
2-21,the man,(vs. woman),Kinship,0.0962877030162,0.886310904872,0.880510440835,Noun,2.21,The man had a long beard.,true
2-22,the woman,,Kinship,0.157498824636,0.823695345557,0.890691114245,Noun,2.22,The woman wore a pretty dress.,true
2-23,male(1),"(of humans, cf. 3.12)",Kinship,0.189476168004,0.867862199151,0.829872581406,Adjective,2.23,I have ten male and twelve female students.,true
2-24,female(1),"(of humans, cf. 3.13)",Kinship,0.157597876576,0.855341738553,0.847378898474,Adjective,2.24,I have ten male and twelve female students.,true
2-25,the boy,,Kinship,0.169642857143,0.864285714286,0.738095238095,Noun,2.25,One day this boy will grow to be a man.,true
2-251,the young man,,Kinship,0.243203883495,0.865631067961,0.739805825243,Noun,2.251,The young man was not married.,true
2-26,the girl,,Kinship,0.142448512586,0.879405034325,0.762013729977,Noun,2.26,One day this girl will grow to be a woman.,true
2-261,the young woman,,Kinship,0.17094017094,0.851037851038,0.757834757835,Noun,2.261,The young woman was not married.,true
2-27,the child(1),'young human' (not kinship term) (cf. 2.43),Kinship,0.154699738903,0.848563968668,0.892950391645,Noun,2.27,Many children were playing in the water.,true
2-28,the baby,‘very young human that cannot walk yet’,Kinship,0.221811460259,0.796303142329,0.805914972274,Noun,2.28,She's still a baby and can only have milk.,true
2-31,the husband,,Kinship,0.199845480299,0.876693278393,0.899047128509,Noun,2.31,She married her husband last year.,true
2-32,the wife,,Kinship,0.183438155136,0.846610761705,0.844514325646,Noun,2.32,He married his wife last year.,true
2-33,to marry,,Kinship,0.139645776567,0.808991825613,0.693460490463,Verb,2.33,She married a man 10 years her junior.,true
2-34,the wedding,,Kinship,0.252808988764,0.8,0.758426966292,Noun,2.34,"When we were married, a thousand people came to the wedding.",true
2-341,the divorce,,Kinship,0.248724489796,0.793367346939,0.649234693878,Noun,2.341,"After the divorce, he married another woman.",true
2-35,the father,,Kinship,0.251601774273,0.855101034993,0.963775258748,Noun,2.35,My father came home late last night.,true
2-36,the mother,,Kinship,0.194662480377,0.873783359498,0.94819466248,Noun,2.36,My mother came home late last night.,true
2-37,the parents,,Kinship,0.117283950617,0.844444444444,0.62962962963,Noun,2.37,My parents live in the village.,true
2-38,the married man,,Kinship,0.0467128027682,0.798615916955,0.615916955017,Noun,2.38,As a married man he had more privileges.,true
2-39,the married woman,,Kinship,0.0100536193029,0.772117962466,0.591152815013,Noun,2.39,As a married woman she had more privileges.,true
2-41,the son,,Kinship,0.111888111888,0.878321678322,0.867132867133,Noun,2.41,I have one son and one daughter.,true
2-42,the daughter,,Kinship,0.117391304348,0.864347826087,0.847826086957,Noun,2.42,I have one son and one daughter.,true
3-662,the porpoise or dolphin,,Animals,0.554347826087,0.813043478261,0.95652173913,Noun,3.662,,true
