ID,Target_Form_ID,Source_Form_ID,Comment,Source,relation,certain,Language_ID
1,892,,abadiy,,immediate,true,53
2,62,,adam,,immediate,true,53
3,1228,,ádres,,immediate,true,309
4,1029,,albah,,immediate,true,192
5,1030,,albah,,immediate,true,192
6,912,,al-aħat,,immediate,true,53
7,1194,,allah,,immediate,true,62
8,1202,,alšun,,immediate,true,53
9,1123,,amur,,immediate,true,62
10,203,,Unidentifiable,,immediate,true,360
11,1142,,armija,,immediate,true,309
12,1236,,otvértka,,immediate,true,309
13,886,,awal,,immediate,true,62
14,886,,awal,,earlier,true,53
15,115,,awlad,,immediate,true,62
16,115,,‘awlaad,,earlier,true,53
17,1216,,avtóbus,,immediate,true,309
18,739,,aˤpaˤsi,,immediate,true,269
19,915,,al-arbaʕat,,immediate,true,53
20,1051,,balah,,immediate,true,62
21,581,,banán,,immediate,true,309
22,1233,,bank,,immediate,true,309
23,805,,raq,,immediate,true,62
24,804,,raq,,immediate,true,62
25,538,,baʁ,,immediate,true,269
26,1219,,batarejka,,immediate,true,309
27,756,,Unidentifiable,,immediate,true,360
28,332,,baˤri,,immediate,true,192
29,16,,baˤr,,immediate,true,192
30,849,,baš,,immediate,false,389
31,849,,baš,,immediate,false,388
32,37,,bec,,immediate,true,62
33,545,,bel,,immediate,true,269
34,546,,bel,,immediate,true,269
35,1221,,benzin,,immediate,true,309
36,1117,,bika,,immediate,true,62
37,1222,,bolnica,,immediate,true,309
38,563,,birinž,,immediate,true,269
39,873,,ħummar,,immediate,true,53
40,1235,,burma,,immediate,false,388
41,1235,,burma,,immediate,false,389
42,860,,but’a,,immediate,true,62
43,518,,buχar,,immediate,true,53
44,516,,buχar,,immediate,true,53
45,627,,ustar,,immediate,true,62
46,1192,,cː’ohor,,immediate,true,62
47,993,,čʼuħize,,immediate,true,62
48,476,,čakma,,immediate,false,388
49,476,,čakma,,immediate,false,389
50,717,,čanaʁi,,immediate,true,62
51,525,,čaraχ,,immediate,true,269
52,653,,čarχ,,immediate,true,269
53,245,,čarχ,,immediate,true,269
54,396,,čejdan,,immediate,false,389
55,396,,čejdan,,immediate,false,388
56,438,,čekar,,immediate,true,269
57,916,,četverg,,immediate,true,309
58,1243,,čaj,,immediate,true,309
59,503,,čitir,,immediate,false,389
60,503,,čitir,,immediate,false,388
61,444,,čiχir,,immediate,false,388
62,444,,čiχir,,immediate,false,389
63,1152,,cʼunize,,immediate,true,62
64,729,,cʼunize,,immediate,true,62
65,783,,cʼunize,,immediate,true,62
66,914,,at-talit,,immediate,true,53
67,456,,taffeta,,immediate,true,53
68,249,,it:a-c̣ani.,,immediate,true,192
69,1033,,dars,,immediate,true,53
70,1032,,dars,,immediate,true,53
71,499,,dahani,,immediate,true,192
72,1193,,dīn,,immediate,true,53
73,1200,,dīn,,immediate,true,53
74,451,,tirzi,,immediate,false,389
75,451,,tirzi,,immediate,false,388
76,1145,,dubinka,,immediate,true,309
77,893,,dunyā,,immediate,true,53
78,0,,dunyā,,immediate,true,53
79,27,,dunyā,,immediate,true,53
80,364,,Unidentifiable,,immediate,true,360
81,1127,,dušman,,immediate,true,269
82,1203,,dužgi,,immediate,true,53
83,1135,,duʕa,,immediate,true,53
84,1091,,duʕa,,immediate,true,53
85,643,,Unidentifiable,,immediate,true,360
86,630,,Unidentifiable,,immediate,true,360
87,184,,Unidentifiable,,immediate,true,360
88,1240,,gazeta,,immediate,true,309
89,402,,gel,,immediate,true,62
90,718,,gimi,,immediate,true,62
91,719,,gimi,,immediate,true,62
92,1118,,graždanin,,immediate,true,309
93,827,,kːukːi,,immediate,true,192
94,424,,kːurkːimmaj,,immediate,true,192
95,1126,,halmaʁ,,immediate,true,62
96,40,,hawaa’,,earlier,true,53
97,41,,hawaa’,,earlier,true,53
98,48,,hawaa’,,earlier,true,53
99,18,,aˤtala,,immediate,true,192
100,1151,,hužum,,immediate,true,62
101,891,,ħadir,,immediate,true,53
102,751,,ħaq',,immediate,true,62
103,1172,,ħarza,,immediate,true,62
104,144,,ħayawaan,,immediate,true,53
105,1234,,ħažatχana,,immediate,true,62
106,171,,ħeleko,,immediate,true,62
107,1106,,ħukumat,,immediate,true,62
108,1224,,ħukumat,,immediate,true,62
109,1207,,ħurulʕen,,immediate,true,53
