Language,Precision,Recall,Fs,Accuracy
Swahili,0.89,0.98,0.94,0.98
Iraqw,0.88,1.00,0.94,0.98
Gawwada,0.93,1.00,0.96,0.98
Hausa,0.93,0.99,0.96,0.98
Kanuri,0.90,1.00,0.95,0.98
Tarifiyt Berber,0.94,0.92,0.93,0.98
Seychelles Creole,0.89,1.00,0.94,0.98
Romanian,0.85,0.92,0.88,0.96
Selice Romani,0.91,1.00,0.95,0.98
Lower Sorbian,0.92,1.00,0.96,0.98
Old High German,0.89,0.94,0.92,0.97
Dutch,0.78,1.00,0.88,0.96
English,0.83,1.00,0.91,0.97
Kildin Saami,0.92,0.98,0.95,0.98
Bezhta,0.96,0.96,0.96,0.98
Archi,0.88,0.93,0.91,0.96
Manange,0.92,1.00,0.96,0.98
Ket,0.93,0.98,0.95,0.98
Sakha,0.81,1.00,0.89,0.96
Oroqen,0.67,0.92,0.78,0.93
Japanese,0.94,1.00,0.97,0.99
Mandarin Chinese,0.93,1.00,0.96,0.98
Thai,0.88,1.00,0.94,0.98
Vietnamese,0.96,1.00,0.98,0.99
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,0.89,1.00,0.94,0.98
Indonesian,0.97,1.00,0.99,0.99
Malagasy,0.97,1.00,0.98,0.99
Takia,0.91,1.00,0.95,0.98
Hawaiian,0.99,1.00,0.99,1.00
Gurindji,0.92,1.00,0.96,0.98
Yaqui,0.94,1.00,0.97,0.99
Zinacantán Tzotzil,0.91,1.00,0.96,0.98
Q'eqchi',0.90,1.00,0.95,0.98
Otomi,0.91,0.98,0.95,0.98
Saramaccan,0.90,0.93,0.92,0.98
Imbabura Quechua,0.93,1.00,0.96,0.99
Kali'na,0.96,1.00,0.98,0.99
Hup,0.82,1.00,0.90,0.97
Wichí,1.00,1.00,1.00,1.00
Mapudungun,0.96,0.98,0.97,0.99
TOTAL/MEAN,0.91,0.99,0.94,0.98
