Language,Precision,Recall,Fs,Accuracy
Swahili,0.88,1.00,0.94,0.99
Iraqw,0.87,1.00,0.93,0.99
Gawwada,0.67,1.00,0.80,0.98
Hausa,1.00,0.96,0.98,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,0.83,1.00,0.91,0.98
Seychelles Creole,0.96,1.00,0.98,1.00
Romanian,0.82,0.96,0.89,0.98
Selice Romani,0.88,1.00,0.94,0.99
Lower Sorbian,0.93,1.00,0.96,0.99
Old High German,0.83,1.00,0.91,0.98
Dutch,0.60,0.95,0.73,0.95
English,0.58,1.00,0.73,0.96
Kildin Saami,0.85,1.00,0.92,0.98
Bezhta,0.91,0.87,0.89,0.98
Archi,0.83,0.94,0.88,0.98
Manange,0.92,1.00,0.96,0.99
Ket,0.93,1.00,0.96,0.99
Sakha,0.76,1.00,0.86,0.97
Oroqen,0.44,1.00,0.61,0.94
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,0.93,1.00,0.96,0.99
Thai,0.88,1.00,0.94,0.99
Vietnamese,0.76,1.00,0.86,0.97
White Hmong,0.97,1.00,0.98,1.00
Ceq Wong,0.93,1.00,0.96,0.99
Indonesian,0.92,1.00,0.96,0.99
Malagasy,0.97,1.00,0.99,1.00
Takia,1.00,1.00,1.00,1.00
Hawaiian,0.91,1.00,0.95,0.99
Gurindji,0.82,1.00,0.90,0.98
Yaqui,0.93,1.00,0.96,0.99
Zinacantán Tzotzil,0.92,1.00,0.96,0.99
Q'eqchi',0.81,1.00,0.89,0.97
Otomi,0.97,0.98,0.97,0.99
Saramaccan,0.84,1.00,0.91,0.98
Imbabura Quechua,1.00,0.86,0.93,0.99
Kali'na,0.91,1.00,0.95,0.99
Hup,0.88,1.00,0.93,0.98
Wichí,1.00,1.00,1.00,1.00
Mapudungun,0.92,1.00,0.96,0.99
TOTAL/MEAN,0.87,0.99,0.92,0.99
