Language,Precision,Recall,Fs,Accuracy
Swahili,0.91,1.00,0.95,1.00
Iraqw,0.80,1.00,0.89,0.99
Gawwada,0.73,1.00,0.84,0.99
Hausa,0.71,1.00,0.83,0.98
Kanuri,0.76,1.00,0.87,0.99
Tarifiyt Berber,0.56,1.00,0.71,0.98
Seychelles Creole,0.78,1.00,0.88,0.99
Romanian,0.58,1.00,0.73,0.97
Selice Romani,0.71,1.00,0.83,0.99
Lower Sorbian,0.71,1.00,0.83,0.98
Old High German,0.81,1.00,0.90,0.99
Dutch,0.67,1.00,0.80,0.98
English,0.80,1.00,0.89,0.99
Kildin Saami,0.86,1.00,0.92,0.99
Bezhta,0.75,1.00,0.86,0.99
Archi,0.71,1.00,0.83,0.98
Manange,0.82,1.00,0.90,0.99
Ket,0.79,1.00,0.88,0.99
Sakha,0.71,1.00,0.83,0.98
Oroqen,0.41,1.00,0.58,0.96
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,0.74,1.00,0.85,0.99
Thai,0.76,1.00,0.87,0.99
Vietnamese,0.77,1.00,0.87,0.99
White Hmong,0.95,1.00,0.97,1.00
Ceq Wong,0.83,1.00,0.91,0.99
Indonesian,0.92,1.00,0.96,1.00
Malagasy,1.00,1.00,1.00,1.00
Takia,0.91,1.00,0.95,1.00
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,0.93,1.00,0.96,0.99
Yaqui,0.93,1.00,0.96,1.00
Zinacantán Tzotzil,0.91,1.00,0.95,1.00
Q'eqchi',0.71,1.00,0.83,0.99
Otomi,0.78,1.00,0.88,0.99
Saramaccan,0.55,1.00,0.71,0.97
Imbabura Quechua,0.89,1.00,0.94,0.99
Kali'na,0.93,1.00,0.96,1.00
Hup,0.86,1.00,0.92,1.00
Wichí,0.82,1.00,0.90,0.99
Mapudungun,0.91,1.00,0.95,1.00
TOTAL/MEAN,0.80,1.00,0.88,0.99
